project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado
VCS2672,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 010,Vietnam,fuel-switching,verra,registered,56049.0,56049.0,0.0
GLD11260,Improved Cookstove and Safe Water Programme – Nigeria – VPA 02,Nigeria,energy-efficiency,gold-standard,unknown,55975.0,145603.0,89628.0
VCS974,"Sarbari II hydro power project by DSL Hydrowatt Limited in Kullu, Himachal Pradesh",India,renewable-energy,verra,registered,55960.0,197614.0,141654.0
VCS1344,Murat HEPP,Türkiye,renewable-energy,verra,registered,55877.0,656937.0,601060.0
VCS2671,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 009,Vietnam,fuel-switching,verra,registered,55823.0,55823.0,0.0
CAR1246,Woodcrest Dairy Digester,United States,ghg-management,climate-action-reserve,registered,55647.0,67781.0,12134.0
VCS1214,Vajrakarur Wind Power Project in Andhra Pradesh,India,renewable-energy,verra,registered,55638.0,756766.0,701128.0
VCS1362,Shandan Dongle Beitan 50MW Solar Power Generation Project,China,renewable-energy,verra,registered,55532.0,367668.0,312136.0
GLD11496,GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 26 - Clear Sky Partners – GS11496,India,energy-efficiency,gold-standard,unknown,55288.0,55288.0,0.0
VCS1413,Grid Interactive Solar Photovoltaic Power Project in Gujarat,India,renewable-energy,verra,registered,55198.0,370472.0,315274.0
GLD961,Nam Hong Hydropower Project,Vietnam,renewable-energy,gold-standard,unknown,55161.0,55161.0,0.0
GLD11259,Improved Cookstove and Safe Water Programme – Nigeria – VPA 01,Nigeria,energy-efficiency,gold-standard,unknown,55112.0,148697.0,93585.0
GLD2711,GS1354 Vietnam Small Hydro PoA - Krong No 2 Hydropower Project,Vietnam,renewable-energy,gold-standard,unknown,55112.0,55112.0,0.0
VCS2444,Distribution of Improved cook stove - Phase 17,India,fuel-switching,verra,registered,55070.0,60070.0,5000.0
ACR877,Hudson Tech 2023-1,United States,ghg-management,american-carbon-registry,active,55022.0,71350.0,16328.0
ACR824,Fielding Environmental HFC Reclamation Offset Project - 2021,Canada,ghg-management,american-carbon-registry,completed,55008.0,55015.0,7.0
VCS2582,Zhijiang Shibaoshan LFG Power Generation Project,China,ghg-management,verra,registered,54962.0,54974.0,12.0
GLD11911,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 11,Malawi,fuel-switching,gold-standard,unknown,54887.0,54887.0,0.0
VCS2446,Distribution of Improved cook stove - Phase 23,India,fuel-switching,verra,registered,54873.0,59873.0,5000.0
VCS1109,Mithapur Solar Power Project,India,renewable-energy,verra,registered,54841.0,69976.0,15135.0
