project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado,vintage,idade_estimada,fator_status,fator_volume,fator_volume_norm,idade_norm,fator_idade_norm,opportunity_score
VCS1867,Ningxia Xiangshan Wind Farm Project,China,renewable-energy,verra,registered,2100360.0,4041916.0,1941556.0,2020.0,5.0,1.0,2100360.0,0.05171569459661382,0.17391304347826086,0.8260869565217391,0.6459494909876798
VCS2748,Zhangye Improved Grassland Management Project,China,land-use,verra,registered,2040378.0,2458517.0,418139.0,2020.0,5.0,1.0,2040378.0,0.050238798375448625,0.17391304347826086,0.8260869565217391,0.6455064221213302
VCS2372,Installation of high efficiency wood burning cookstoves in Malawi - Project 2,Malawi,fuel-switching,verra,registered,1987466.0,4444642.0,2457176.0,2020.0,5.0,1.0,1987466.0,0.04893598198295933,0.17391304347826086,0.8260869565217391,0.6451155772035835
VCS1950,Longyuan Mulilo De Aar 2 North Wind Energy Facility,South Africa,renewable-energy,verra,registered,1959794.0,2794486.0,834692.0,2020.0,5.0,1.0,1959794.0,0.04825463304107538,0.17391304347826086,0.8260869565217391,0.6449111725210184
VCS2749,DelAgua Clean Cooking Grouped Project,Rwanda,energy-efficiency,verra,registered,1912383.0,2408517.0,496134.0,2020.0,5.0,1.0,1912383.0,0.04708726405135074,0.17391304347826086,0.8260869565217391,0.6445609618241008
VCS1622,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Guatemala,forest,verra,registered,1872301.0,6951508.0,5079207.0,2020.0,5.0,1.0,1872301.0,0.046100352072144586,0.17391304347826086,0.8260869565217391,0.644264888230339
VCS960,Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,Uruguay,forest,verra,registered,4066308.0,5812947.0,1746639.0,2019.0,6.0,1.0,4066308.0,0.10012190266248819,0.21739130434782608,0.782608695652174,0.643080049059616
VCS873,Gansu Guazhou Beidaqiao Wind Power Project,China,renewable-energy,verra,registered,1705049.0,2000748.0,295699.0,2020.0,5.0,1.0,1705049.0,0.04198221918590669,0.17391304347826086,0.8260869565217391,0.6430294483644676
VCS1345,Boyabat Hydroelectric Power Plant,Türkiye,renewable-energy,verra,registered,1676411.0,2178523.0,502112.0,2020.0,5.0,1.0,1676411.0,0.04127708507931256,0.17391304347826086,0.8260869565217391,0.6428179081324894
VCS868,"REDD project in Brazil nut concessions in Madre de Dios, Peru",Peru,forest,verra,registered,6375432.0,14122644.0,7747212.0,2018.0,7.0,1.0,6375432.0,0.15697790129210812,0.26086956521739135,0.7391304347826086,0.642745544300676
